#,Week,Priority,Task Name,Short Description,Dependencies,Acceptance Criteria,Implementation Guide,Role,Complexity,Status,Assigned To,Notes
t-1,,,Weekly sync ,"Conduct weekly synchronization meeting to align on project progress, identify blockers, and plan upcoming work        —        Weekly meeting conducted; blockers identified; action items assigned and tracked        Set up recurring meeting; maintain agenda; track outcomes and action items in project tool",,,,,,,,Use this task for our weekly syncs 
T-1.1,1,High,DB Schema Design,"Design PostgreSQL schema for users, reports, sectors, statuses",—,"Schema documented; all tables, FKs, indexes defined","Create Django models: User(role,email), Report(desc,location,image,status,sector,priority,category), Sector, AuditLog. Run makemigrations.",DE/AI,Medium,Done,Магдалена,
T-2,1,High,Ollama AI Setup,Configure Ollama local model for report classification,T-1,Ollama running locally; test classification returns category+priority,"Install Ollama, pull llama3/mistral model, write classify_report(text)->{'category':..,'priority':..,'sector':..} wrapper function",DE/AI,High,Done,Магдалена,
T-3,1,High,Django Project Bootstrap,"Initialize Django project with settings, apps, Docker",—,Django app runs in Docker; .env configured,"django-admin startproject, create apps: accounts,reports,notifications,analytics. Configure settings.py with env vars, PostgreSQL, installed apps.",BE,Low,Done,Марио,
T-4,1,High,User Auth & Roles,"Implement registration, login, logout, email verification, roles",T-3,"Login/logout work; 3 roles (Citizen,Officer,Admin) enforced; email sent on register","Use Django auth + django-verify-email. Create Groups: Citizen, Officer, Admin. Role middleware. JWT or session auth.",BE,Medium,Done,Елена,"https://pypi.org/project/Django-Verify-Email/#:~:text=Email%2DVerification%20for%20Django,What's%20in%20this%20update"
T-5,1,High,Base Template & Navbar,Create base HTML template with Bootstrap navbar and layout,T-3,All pages extend base; navbar shows correct links per role,"Create base.html with Bootstrap 5 CDN, navbar with role-conditional links (Мои пријави, Нова пријава, Пребарај, Мапа, Работен панел, Админ панел), footer.",FE,Low,Done,Јована,Fixed merge conflicts and moved to shared templates/base.html
T-6,1,High,Login & Register Pages,"Build login, register, email-verify UI pages",T-5,Forms render correctly; validation errors shown; links between pages work,Django forms for login/register. Use Bootstrap cards. Show 'Ќе ви биде испратен е-маил' info box on register. Forgot password link.,FE,Low,Done,Јана,Implemented Bootstrap login/register/profile + verification templates
T-7,1,Medium,QA Environment Setup,Set up testing framework and CI structure,T-3,pytest runs; at least 1 test passes,"Install pytest-django, configure pytest.ini, create conftest.py with fixtures for each user role. Set up GitHub Actions yml for CI.",QA,Low,Done,Ангела,
T-7.1,1,Low,Home Page,,"T-5, T-1 (DB)",Page loads at /; and it looks like on mockups,Create home view in reports/views.py. Template home.html extends base.html.,FE,Low,Done,Ивана,should extend navbar from task t-5
T-8,2,High,Report Submission API,"Backend logic to create a new report with text, GPS, image","T-1, T-3","POST /reports/ creates report, triggers AI, saves sector/priority/category","Django view/form: validate fields, save Report, call classify_report(), assign sector, set status='New'. Handle AI failure -> status='Unclassified'.",BE,Medium,To Do,Марио,SPRINT 2
T-9,2,High,Report Status Management,Allow officers to update report status with timestamp,T-8,PATCH updates status+timestamp; only own-sector officers can edit,Add status field (New/InProgress/Resolved/Unclassified). Permission mixin: OfficerSectorPermission. Log status change with DateTimeField.,BE,Medium,To Do,Магдалена,SPRINT 2
